Customer,Country,Region,Segment,Salesperson,Emp ID,Order ID,Order Date,Required Date,Shipped Date,Shipper,Product Name,Unit Price,Quantity,Subtotal,Profit
Alfreds Futterkiste,Germany,Europe,Small Business,Nancy Davolio,1035,10952,16-Mar-2007,27-Apr-2007,24-Mar-2007,Global Shippers,Grandma's Boysenberry Spread,25,16,400,240
Alfreds Futterkiste,Germany,Europe,Small Business,Nancy Davolio,1035,10952,16-Mar-2007,27-Apr-2007,24-Mar-2007,OnTime Carriers,Rössle Sauerkraut,45.6,2,91.2,54.72
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Janet Leverling,1015,10625,08-Aug-2007,05-Sep-2007,14-Aug-2007,Speedy Shipping,Tofu,23.25,3,69.75,41.85
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Janet Leverling,1015,10625,08-Aug-2007,05-Sep-2007,14-Aug-2007,Speedy Shipping,Singaporean Hokkien Fried Mee,14,5,70,42
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Janet Leverling,1015,10625,08-Aug-2007,05-Sep-2007,14-Aug-2007,Anywhere Delivery,Camembert Pierrot,34,10,340,204
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Janet Leverling,1015,10759,28-Nov-2007,26-Dec-2007,12-Dec-2007,Anywhere Delivery,Mascarpone Fabioli,32,10,320,192
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Margaret Peacock,1025,10926,04-Mar-2007,01-Apr-2007,11-Mar-2007,Anywhere Delivery,Queso Cabrales,21,2,42,25.2
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Margaret Peacock,1025,10926,04-Mar-2007,01-Apr-2007,11-Mar-2007,Speedy Shipping,Konbu,6,10,60,36
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Margaret Peacock,1025,10926,04-Mar-2007,01-Apr-2007,11-Mar-2007,Global Shippers,Teatime Chocolate Biscuits,9.2,7,64.4,38.64
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Margaret Peacock,1025,10926,04-Mar-2007,01-Apr-2007,11-Mar-2007,Global Shippers,Mozzarella di Giovanni,34.8,10,348,208.8
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Robert King,1040,10308,18-Sep-2007,16-Oct-2007,24-Sep-2007,Global Shippers,Gudbrandsdalsost,28.8,1,28.8,17.28
Ana Trujillo Emparedados y helados,Mexico,North America,Enterprise,Robert King,1040,10308,18-Sep-2007,16-Oct-2007,24-Sep-2007,OnTime Carriers,Outback Lager,12,5,60,36
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10856,28-Jan-2007,25-Feb-2007,10-Feb-2007,Anywhere Delivery,Chang,19,20,380,228
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10856,28-Jan-2007,25-Feb-2007,10-Feb-2007,Global Shippers,Singaporean Hokkien Fried Mee,14,20,280,168
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10682,25-Sep-2007,23-Oct-2007,01-Oct-2007,OnTime Carriers,Geitost,2.5,30,75,45
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10682,25-Sep-2007,23-Oct-2007,01-Oct-2007,OnTime Carriers,Louisiana Hot Spiced Okra,17,4,68,40.8
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10682,25-Sep-2007,23-Oct-2007,01-Oct-2007,Speedy Shipping,Rhönbräu Klosterbier,7.75,30,232.5,139.5
Antonio Moreno Taquería,Mexico,North America,Government,Janet Leverling,1015,10365,27-Nov-2007,25-Dec-2007,02-Dec-2007,Speedy Shipping,Queso Cabrales,16.8,24,403.2,241.92
Antonio Moreno Taquería,Mexico,North America,Government,Margaret Peacock,1025,10535,13-May-2007,10-Jun-2007,21-May-2007,Anywhere Delivery,Queso Cabrales,21,50,1050,630
Antonio Moreno Taquería,Mexico,North America,Government,Margaret Peacock,1025,10535,13-May-2007,10-Jun-2007,21-May-2007,Global Shippers,Boston Crab Meat,18.4,10,184,110.4
Antonio Moreno Taquería,Mexico,North America,Government,Margaret Peacock,1025,10535,13-May-2007,10-Jun-2007,21-May-2007,Global Shippers,Ravioli Angelo,19.5,5,97.5,58.5
Antonio Moreno Taquería,Mexico,North America,Government,Margaret Peacock,1025,10535,13-May-2007,10-Jun-2007,21-May-2007,Speedy Shipping,Raclette Courdavault,55,15,825,495
Antonio Moreno Taquería,Mexico,North America,Government,Nancy Davolio,1035,10677,22-Sep-2007,20-Oct-2007,26-Sep-2007,Anywhere Delivery,Gumbär Gummibärchen,31.23,30,936.9,562.14
Antonio Moreno Taquería,Mexico,North America,Government,Nancy Davolio,1035,10677,22-Sep-2007,20-Oct-2007,26-Sep-2007,Global Shippers,Geitost,2.5,8,20,12
Antonio Moreno Taquería,Mexico,North America,Government,Robert King,1040,10507,15-Apr-2007,13-May-2007,22-Apr-2007,Anywhere Delivery,Ipoh Coffee,46,15,690,414
Antonio Moreno Taquería,Mexico,North America,Government,Robert King,1040,10507,15-Apr-2007,13-May-2007,22-Apr-2007,Speedy Shipping,Chocolade,12.75,15,191.25,114.75
Antonio Moreno Taquería,Mexico,North America,Government,Robert King,1040,10573,19-Jun-2007,17-Jul-2007,20-Jun-2007,OnTime Carriers,Alice Mutton,39,18,702,421.2
Antonio Moreno Taquería,Mexico,North America,Government,Robert King,1040,10573,19-Jun-2007,17-Jul-2007,20-Jun-2007,Anywhere Delivery,Sasquatch Ale,14,40,560,336
Antonio Moreno Taquería,Mexico,North America,Government,Robert King,1040,10573,19-Jun-2007,17-Jul-2007,20-Jun-2007,OnTime Carriers,Perth Pasties,32.8,25,820,492
Around the Horn,UK,Europe,Government,Anne Dodsworth,1010,10953,16-Mar-2007,30-Mar-2007,25-Mar-2007,Anywhere Delivery,Sir Rodney's Marmalade,81,50,4050,2430
Around the Horn,UK,Europe,Government,Anne Dodsworth,1010,10953,16-Mar-2007,30-Mar-2007,25-Mar-2007,Anywhere Delivery,Gorgonzola Telino,12.5,50,625,375
Around the Horn,UK,Europe,Government,Anne Dodsworth,1010,11016,10-Apr-2007,08-May-2007,13-Apr-2007,Speedy Shipping,Gorgonzola Telino,12.5,15,187.5,112.5
Around the Horn,UK,Europe,Government,Anne Dodsworth,1010,11016,10-Apr-2007,08-May-2007,13-Apr-2007,Global Shippers,Inlagd Sill,19,16,304,182.4
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10793,24-Dec-2007,21-Jan-2007,08-Jan-2007,Speedy Shipping,Jack's New England Clam Chowder,9.65,14,135.1,81.06
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10793,24-Dec-2007,21-Jan-2007,08-Jan-2007,Speedy Shipping,Filo Mix,7,8,56,33.6
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10768,08-Dec-2007,05-Jan-2007,15-Dec-2007,Speedy Shipping,Gustaf's Knäckebröd,21,4,84,50.4
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10768,08-Dec-2007,05-Jan-2007,15-Dec-2007,Anywhere Delivery,Gorgonzola Telino,12.5,50,625,375
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10768,08-Dec-2007,05-Jan-2007,15-Dec-2007,OnTime Carriers,Camembert Pierrot,34,15,510,306
Around the Horn,UK,Europe,Government,Janet Leverling,1015,10768,08-Dec-2007,05-Jan-2007,15-Dec-2007,OnTime Carriers,Fløtemysost,21.5,12,258,154.8
Around the Horn,UK,Europe,Government,Laura Callahan,1020,10383,16-Dec-2007,13-Jan-2007,18-Dec-2007,OnTime Carriers,Konbu,4.8,20,96,57.6
Around the Horn,UK,Europe,Government,Laura Callahan,1020,10383,16-Dec-2007,13-Jan-2007,18-Dec-2007,Global Shippers,Valkoinen suklaa,13,15,195,117
Around the Horn,UK,Europe,Government,Laura Callahan,1020,10383,16-Dec-2007,13-Jan-2007,18-Dec-2007,Speedy Shipping,Gnocchi di nonna Alice,30.4,20,608,364.8
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10864,02-Feb-2007,02-Mar-2007,09-Feb-2007,OnTime Carriers,Steeleye Stout,18,4,72,43.2
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10864,02-Feb-2007,02-Mar-2007,09-Feb-2007,Speedy Shipping,Laughing Lumberjack Lager,14,15,210,126
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10920,03-Mar-2007,31-Mar-2007,09-Mar-2007,OnTime Carriers,Valkoinen suklaa,16.25,24,390,234
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10707,16-Oct-2007,30-Oct-2007,23-Oct-2007,OnTime Carriers,Pâté chinois,24,21,504,302.4
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10707,16-Oct-2007,30-Oct-2007,23-Oct-2007,Global Shippers,Ravioli Angelo,19.5,40,780,468
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10707,16-Oct-2007,30-Oct-2007,23-Oct-2007,Anywhere Delivery,Outback Lager,15,28,420,252
Around the Horn,UK,Europe,Government,Margaret Peacock,1025,10741,14-Nov-2007,28-Nov-2007,18-Nov-2007,Global Shippers,Chang,19,15,285,171
Around the Horn,UK,Europe,Government,Michael Suyama,1030,10355,15-Nov-2007,13-Dec-2007,20-Nov-2007,Anywhere Delivery,Guaraná Fantástica,3.6,25,90,54
Around the Horn,UK,Europe,Government,Michael Suyama,1030,10355,15-Nov-2007,13-Dec-2007,20-Nov-2007,Global Shippers,Ravioli Angelo,15.6,25,390,234
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10453,21-Feb-2007,21-Mar-2007,26-Feb-2007,Global Shippers,Chocolade,10.2,15,153,91.8
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10453,21-Feb-2007,21-Mar-2007,26-Feb-2007,Anywhere Delivery,Outback Lager,12,25,300,180
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10558,04-Jun-2007,02-Jul-2007,10-Jun-2007,Speedy Shipping,Zaanse koeken,9.5,25,237.5,142.5
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10558,04-Jun-2007,02-Jul-2007,10-Jun-2007,Global Shippers,Manjimup Dried Apples,53,20,1060,636
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10558,04-Jun-2007,02-Jul-2007,10-Jun-2007,Anywhere Delivery,Filo Mix,7,30,210,126
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10558,04-Jun-2007,02-Jul-2007,10-Jun-2007,Anywhere Delivery,Perth Pasties,32.8,18,590.4,354.24
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10558,04-Jun-2007,02-Jul-2007,10-Jun-2007,Global Shippers,Röd Kaviar,15,3,45,27
Around the Horn,UK,Europe,Government,Nancy Davolio,1035,10743,17-Nov-2007,15-Dec-2007,21-Nov-2007,OnTime Carriers,Spegesild,12,28,336,201.6
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Andrew Fuller,1005,10280,14-Aug-2007,11-Sep-2007,12-Sep-2007,Anywhere Delivery,Guaraná Fantástica,3.6,12,43.2,25.92
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Andrew Fuller,1005,10280,14-Aug-2007,11-Sep-2007,12-Sep-2007,Anywhere Delivery,Pâté chinois,19.2,20,384,230.4
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Andrew Fuller,1005,10280,14-Aug-2007,11-Sep-2007,12-Sep-2007,Anywhere Delivery,Rhönbräu Klosterbier,6.2,30,186,111.6
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10837,16-Jan-2007,13-Feb-2007,23-Jan-2007,Speedy Shipping,Konbu,6,6,36,21.6
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10837,16-Jan-2007,13-Feb-2007,23-Jan-2007,OnTime Carriers,Boston Crab Meat,18.4,25,460,276
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10837,16-Jan-2007,13-Feb-2007,23-Jan-2007,Speedy Shipping,Zaanse koeken,9.5,40,380,228
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10837,16-Jan-2007,13-Feb-2007,23-Jan-2007,Anywhere Delivery,Lakkalikööri,18,21,378,226.8
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10672,17-Sep-2007,01-Oct-2007,26-Sep-2007,OnTime Carriers,Côte de Blaye,263.5,15,3952.5,2371.5
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Anne Dodsworth,1010,10672,17-Sep-2007,01-Oct-2007,26-Sep-2007,Anywhere Delivery,Fløtemysost,21.5,12,258,154.8
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10445,13-Feb-2007,13-Mar-2007,20-Feb-2007,Anywhere Delivery,Chartreuse verte,14.4,6,86.4,51.84
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10445,13-Feb-2007,13-Mar-2007,20-Feb-2007,Global Shippers,Tourtière,5.9,15,88.5,53.1
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10444,12-Feb-2007,12-Mar-2007,21-Feb-2007,Global Shippers,Alice Mutton,31.2,10,312,187.2
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10444,12-Feb-2007,12-Mar-2007,21-Feb-2007,Global Shippers,Gumbär Gummibärchen,24.9,15,373.5,224.1
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10444,12-Feb-2007,12-Mar-2007,21-Feb-2007,Anywhere Delivery,Steeleye Stout,14.4,8,115.2,69.12
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10444,12-Feb-2007,12-Mar-2007,21-Feb-2007,Speedy Shipping,Jack's New England Clam Chowder,7.7,30,231,138.6
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10924,04-Mar-2007,01-Apr-2007,08-Apr-2007,Speedy Shipping,Ikura,31,20,620,372
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10924,04-Mar-2007,01-Apr-2007,08-Apr-2007,Anywhere Delivery,Rössle Sauerkraut,45.6,30,1368,820.8
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10924,04-Mar-2007,01-Apr-2007,08-Apr-2007,Anywhere Delivery,Rhönbräu Klosterbier,7.75,6,46.5,27.9
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10572,18-Jun-2007,16-Jul-2007,25-Jun-2007,Anywhere Delivery,Pavlova,17.45,12,209.4,125.64
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10572,18-Jun-2007,16-Jul-2007,25-Jun-2007,Anywhere Delivery,Mascarpone Fabioli,32,10,320,192
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10572,18-Jun-2007,16-Jul-2007,25-Jun-2007,OnTime Carriers,Boston Crab Meat,18.4,50,920,552
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10572,18-Jun-2007,16-Jul-2007,25-Jun-2007,Global Shippers,Rhönbräu Klosterbier,7.75,15,116.25,69.75
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10384,16-Dec-2007,13-Jan-2007,20-Dec-2007,OnTime Carriers,Sir Rodney's Marmalade,64.8,28,1814.4,1088.64
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10384,16-Dec-2007,13-Jan-2007,20-Dec-2007,OnTime Carriers,Camembert Pierrot,27.2,15,408,244.8
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Janet Leverling,1015,10778,16-Dec-2007,13-Jan-2007,24-Dec-2007,Speedy Shipping,Jack's New England Clam Chowder,9.65,10,96.5,57.9
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10857,28-Jan-2007,25-Feb-2007,06-Feb-2007,Global Shippers,Aniseed Syrup,10,30,300,180
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10857,28-Jan-2007,25-Feb-2007,06-Feb-2007,Speedy Shipping,Gumbär Gummibärchen,31.23,35,1093.05,655.83
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10857,28-Jan-2007,25-Feb-2007,06-Feb-2007,Speedy Shipping,Thüringer Rostbratwurst,123.79,10,1237.9,742.74
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10278,12-Aug-2007,09-Sep-2007,16-Aug-2007,Speedy Shipping,Gula Malacca,15.5,16,248,148.8
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10278,12-Aug-2007,09-Sep-2007,16-Aug-2007,Speedy Shipping,Raclette Courdavault,44,15,660,396
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10278,12-Aug-2007,09-Sep-2007,16-Aug-2007,Global Shippers,Vegie-spread,35.1,8,280.8,168.48
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Laura Callahan,1020,10278,12-Aug-2007,09-Sep-2007,16-Aug-2007,OnTime Carriers,Röd Kaviar,12,25,300,180
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Margaret Peacock,1025,10875,06-Feb-2007,06-Mar-2007,03-Mar-2007,OnTime Carriers,Teatime Chocolate Biscuits,9.2,25,230,138
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Margaret Peacock,1025,10875,06-Feb-2007,06-Mar-2007,03-Mar-2007,Speedy Shipping,Zaanse koeken,9.5,21,199.5,119.7
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Margaret Peacock,1025,10875,06-Feb-2007,06-Mar-2007,03-Mar-2007,OnTime Carriers,Maxilaku,20,15,300,180
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10524,01-May-2007,29-May-2007,07-May-2007,OnTime Carriers,Ikura,31,2,62,37.2
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10524,01-May-2007,29-May-2007,07-May-2007,Anywhere Delivery,Nord-Ost Matjeshering,25.89,10,258.9,155.34
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10524,01-May-2007,29-May-2007,07-May-2007,Global Shippers,Ipoh Coffee,46,60,2760,1656
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10524,01-May-2007,29-May-2007,07-May-2007,Global Shippers,Tourtière,7.45,15,111.75,67.05
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10626,11-Aug-2007,08-Sep-2007,20-Aug-2007,Anywhere Delivery,Perth Pasties,32.8,12,393.6,236.16
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10626,11-Aug-2007,08-Sep-2007,20-Aug-2007,Speedy Shipping,Camembert Pierrot,34,20,680,408
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10626,11-Aug-2007,08-Sep-2007,20-Aug-2007,OnTime Carriers,Fløtemysost,21.5,20,430,258
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10689,01-Oct-2007,29-Oct-2007,07-Oct-2007,Global Shippers,Chai,18,35,630,378
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10733,07-Nov-2007,05-Dec-2007,10-Nov-2007,Anywhere Delivery,Tofu,23.25,16,372,223.2
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10733,07-Nov-2007,05-Dec-2007,10-Nov-2007,Anywhere Delivery,Rössle Sauerkraut,45.6,20,912,547.2
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Nancy Davolio,1035,10733,07-Nov-2007,05-Dec-2007,10-Nov-2007,Speedy Shipping,Filo Mix,7,25,175,105
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10866,03-Feb-2007,03-Mar-2007,12-Feb-2007,Anywhere Delivery,Chang,19,21,399,239.4
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10866,03-Feb-2007,03-Mar-2007,12-Feb-2007,Speedy Shipping,Guaraná Fantástica,4.5,6,27,16.2
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10866,03-Feb-2007,03-Mar-2007,12-Feb-2007,Global Shippers,Nord-Ost Matjeshering,25.89,40,1035.6,621.36
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10654,02-Sep-2007,30-Sep-2007,11-Sep-2007,Anywhere Delivery,Chef Anton's Cajun Seasoning,22,12,264,158.4
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10654,02-Sep-2007,30-Sep-2007,11-Sep-2007,Speedy Shipping,Chartreuse verte,18,20,360,216
Berglunds snabbköp,Sweden,Scandinavia,Mid-market,Steven Buchanan,1045,10654,02-Sep-2007,30-Sep-2007,11-Sep-2007,Global Shippers,Tourtière,7.45,6,44.7,26.82
Blauer See Delikatessen,Germany,Europe,Small Business,Anne Dodsworth,1010,10853,27-Jan-2007,24-Feb-2007,03-Feb-2007,Speedy Shipping,Carnarvon Tigers,62.5,10,625,375
Blauer See Delikatessen,Germany,Europe,Small Business,Anne Dodsworth,1010,10501,09-Apr-2007,07-May-2007,16-Apr-2007,Global Shippers,Tourtière,7.45,20,149,89.4
Blauer See Delikatessen,Germany,Europe,Small Business,Anne Dodsworth,1010,11058,29-Apr-2007,27-May-2007,08-May-2007,OnTime Carriers,Sir Rodney's Scones,10,3,30,18
Blauer See Delikatessen,Germany,Europe,Small Business,Anne Dodsworth,1010,11058,29-Apr-2007,27-May-2007,08-May-2007,Global Shippers,Camembert Pierrot,34,21,714,428.4
Blauer See Delikatessen,Germany,Europe,Small Business,Anne Dodsworth,1010,11058,29-Apr-2007,27-May-2007,08-May-2007,Anywhere Delivery,Sirop d'érable,28.5,4,114,68.4
Blauer See Delikatessen,Germany,Europe,Small Business,Janet Leverling,1015,10582,27-Jun-2007,25-Jul-2007,14-Jul-2007,Speedy Shipping,Ravioli Angelo,19.5,4,78,46.8
Blauer See Delikatessen,Germany,Europe,Small Business,Janet Leverling,1015,10582,27-Jun-2007,25-Jul-2007,14-Jul-2007,Speedy Shipping,Lakkalikööri,18,14,252,151.2
Blauer See Delikatessen,Germany,Europe,Small Business,Laura Callahan,1020,10614,29-Jul-2007,26-Aug-2007,01-Aug-2007,Anywhere Delivery,Queso Cabrales,21,14,294,176.4
Blauer See Delikatessen,Germany,Europe,Small Business,Laura Callahan,1020,10614,29-Jul-2007,26-Aug-2007,01-Aug-2007,OnTime Carriers,Sir Rodney's Scones,10,8,80,48
Blauer See Delikatessen,Germany,Europe,Small Business,Laura Callahan,1020,10614,29-Jul-2007,26-Aug-2007,01-Aug-2007,OnTime Carriers,Chartreuse verte,18,5,90,54
Blauer See Delikatessen,Germany,Europe,Small Business,Margaret Peacock,1025,10509,17-Apr-2007,15-May-2007,29-Apr-2007,Speedy Shipping,Rössle Sauerkraut,45.6,3,136.8,82.08
Blauer See Delikatessen,Germany,Europe,Small Business,Michael Suyama,1030,10956,17-Mar-2007,28-Apr-2007,20-Mar-2007,Speedy Shipping,Sir Rodney's Scones,10,12,120,72
Blauer See Delikatessen,Germany,Europe,Small Business,Michael Suyama,1030,10956,17-Mar-2007,28-Apr-2007,20-Mar-2007,Anywhere Delivery,Zaanse koeken,9.5,14,133,79.8
Blauer See Delikatessen,Germany,Europe,Small Business,Michael Suyama,1030,10956,17-Mar-2007,28-Apr-2007,20-Mar-2007,Speedy Shipping,Manjimup Dried Apples,53,8,424,254.4
Blondel père et fils,France,Europe,Mid-market,Andrew Fuller,1005,10265,25-Jul-2007,22-Aug-2007,12-Aug-2007,Anywhere Delivery,Alice Mutton,31.2,30,936,561.6
Blondel père et fils,France,Europe,Mid-market,Andrew Fuller,1005,10265,25-Jul-2007,22-Aug-2007,12-Aug-2007,Speedy Shipping,Outback Lager,12,20,240,144
Blondel père et fils,France,Europe,Mid-market,Anne Dodsworth,1010,10566,12-Jun-2007,10-Jul-2007,18-Jun-2007,Speedy Shipping,Queso Cabrales,21,35,735,441
Blondel père et fils,France,Europe,Mid-market,Anne Dodsworth,1010,10566,12-Jun-2007,10-Jul-2007,18-Jun-2007,Anywhere Delivery,Carnarvon Tigers,62.5,18,1125,675
Blondel père et fils,France,Europe,Mid-market,Anne Dodsworth,1010,10566,12-Jun-2007,10-Jul-2007,18-Jun-2007,OnTime Carriers,Lakkalikööri,18,10,180,108
Blondel père et fils,France,Europe,Mid-market,Janet Leverling,1015,10436,05-Feb-2007,05-Mar-2007,11-Feb-2007,Global Shippers,Spegesild,9.6,5,48,28.8
Blondel père et fils,France,Europe,Mid-market,Janet Leverling,1015,10436,05-Feb-2007,05-Mar-2007,11-Feb-2007,Anywhere Delivery,Gnocchi di nonna Alice,30.4,40,1216,729.6
Blondel père et fils,France,Europe,Mid-market,Janet Leverling,1015,10436,05-Feb-2007,05-Mar-2007,11-Feb-2007,Speedy Shipping,Wimmers gute Semmelknödel,26.6,30,798,478.8
Blondel père et fils,France,Europe,Mid-market,Janet Leverling,1015,10436,05-Feb-2007,05-Mar-2007,11-Feb-2007,Speedy Shipping,Rhönbräu Klosterbier,6.2,24,148.8,89.28
Blondel père et fils,France,Europe,Mid-market,Janet Leverling,1015,10449,18-Feb-2007,18-Mar-2007,27-Feb-2007,Speedy Shipping,Ikura,24.8,14,347.2,208.32
